Prodavnica,Ime,Brend,Procesor,RAM_Memorija,Kapacitet,Cena,Klub/Smart/Happy cena
Anhoch,"Notebook Dell Vostro 5625 Ryzen5 5625U/8GB/256GB SSD/16"" FHD+/BacklitKB/Win11Pro",Dell,RYZEN5 5625U,8 GB,256 GB SSD,"36.980,00 ???.",
Anhoch,"Notebook Lenovo ThinkPad E16 Ryzen7 7735U/16GB/512GB SSD/16"" WUXGA IPS/KB Backlit/FP/Win11Pro",Lenovo,RYZEN7 7735U,16 GB,512 GB SSD,"54.980,00 ???.",
Anhoch,"Notebook HP 15 i5-1334U 16GB/512GB/15.6"" FHD IPS/Iris XE/Type-C/DOS/Diamond White",Hp,I5 1334U,16 GB,512 GB SSD,"25.980,00 ???.",
Anhoch,"Notebook HP Pavilion 15 Ryzen7 7730U 16GB/512GB SSD/15.6"" FullHD/DOS",Hp,RYZEN7 7730U,16 GB,512 GB SSD,"27.980,00 ???.",
Anhoch,"Notebook Lenovo Gaming 3 i5-12450H/16GB/512GB/RTX3060 6GB/15.6"" FHD 120Hz/Backlit Kb/DOS",Lenovo,I5 12450H,16 GB,512 GB SSD,"46.980,00 ???.","45.980,00 ???."
Anhoch,"Notebook Dell Vostro 3520 i3-1215U/8GB/256GB/Intel Iris XE/15.6"" FHD 120Hz/BacklitKB/3Cell/Ubuntu",Dell,I3 1215U,8 GB,256 GB SSD,"17.980,00 ???.",
Anhoch,"Notebook Lenovo IdeaPad Slim 3 i3-1305U 8GB/512GB SSD/15.6"" FullHD/DOS/UltraSlim/Abyss Blue",Lenovo,I3 1305U,8 GB,512 GB SSD,"19.980,00 ???.",
Anhoch,"Notebook Lenovo LOQ Gaming Ryzen5 7235HS/16GB/512GB/RTX3050 6GB/15.6"" FHD 144Hz/Backlit Kb/DOS/Grey",Lenovo,RYZEN5 7235HS,16 GB,512 GB SSD,"40.980,00 ???.",
Anhoch,"Notebook Lenovo ThinkBook 16 G7 Ryzen7 7735HS/16GB/512GB SSD/16"" WUXGA/Backlit Kb/DOS",Lenovo,RYZEN7 7735HS,16 GB,512 GB SSD,"44.980,00 ???.",
Anhoch,"Notebook Dell Vostro 3420 i5-1135G7 8GB/512GB/Intel Iris XE/14"" FullHD/BacklitKB/3Cell/Ubuntu",Dell,I5 1135G,8 GB,512 GB SSD,"34.480,00 ???.",
Anhoch,"Notebook Lenovo IdeaPad Slim 3 i7-13620H/16GB/512GB SSD/15.6"" FHD AG 250nits/Abyss Blue",Lenovo,I7 13620H,16 GB,512 GB SSD,"31.980,00 ???.",
Anhoch,"Notebook Lenovo Gaming 3 i5-12450H/8GB/512GB/RTX3060 6GB/15.6"" FHD 120Hz/Backlit Kb/DOS",Lenovo,I5 12450H,8 GB,512 GB SSD,"45.980,00 ???.","43.980,00 ???."
Anhoch,"Notebook Lenovo ThinkPad E14 Gen 6 Ultra 5 125U/16GB/512GB/14"" FHD IPS/BacklitKB/FP/DOS",Lenovo,ULTRA 5 125U,16 GB,512 GB SSD,"52.980,00 ???.",
Anhoch,"Notebook Dell Latitude 3520 i7-1165G7 16GB/256GB SSD/15.6"" FHD/FRP/BacklitKB/Win11Pro",Dell,I7 1165G,16 GB,256 GB SSD,"46.980,00 ???.",
Anhoch,"Notebook HP Pavilion 15 i5-1335U 16GB/512GB SSD/15.6"" FullHD IPS/White/DOS",Hp,I5 1335U,16 GB,512 GB SSD,"30.980,00 ???.",
Anhoch,"Notebook HP Victus Gaming Ryzen7 8845HS/16GB/512GB SSD/RTX4070 8GB/16.1"" FHD IPS 144Hz/BacklitKb/W11",Hp,RYZEN7 8845HS,16 GB,512 GB SSD,"74.980,00 ???.",
Anhoch,"Notebook HP Victus Gaming i7 13700H/16GB/512GB SSD/RTX 4060 8GB/15.6"" FHD IPS 144Hz/Backlit Kb/Blue",Hp,I7 13700H,16 GB,512 GB SSD,"72.980,00 ???.","69.980,00 ???."
Anhoch,"Notebook Lenovo IdeaPad Slim 3 Core 7 150U/16GB/512GB SSD/15.6"" FHD IPS 300nits/Arc.Grey",Lenovo,CORE 7,16 GB,512 GB SSD,"40.980,00 ???.",
Anhoch,"Notebook HP 15 Ryzen3 7320U/8GB/512GB/15.6"" FullHD IPS/DOS/Diamond White",Hp,RYZEN3 7320U,8 GB,512 GB SSD,"17.980,00 ???.",
Anhoch,"Notebook Dell Vostro 3420 i7-1165G7 16GB/512GB/Intel Iris XE/14"" FullHD/BacklitKB/4Cell/DOS",Dell,I7 1165G,16 GB,512 GB SSD,"39.980,00 ???.",
